id,lemma,translation,transliteration,ipa,pos,category,examples,frequency,definition,audio,inflections
1,,,,,,,_____@,,,,
2,veprim,action,,/vɛpɹim/,Noun,m,_____@,,action,,~['trajta të pashquara', 'trajta të shquara', 'numri njëjës', 'numri shumës', 'numri njëjës', 'numri shumës', 'emërore', 'veprim', 'veprime', 'veprimi', 'veprimet', 'kallëzore', 'veprim', 'veprime', 'veprimin', 'veprimet', 'gjinore', 'i', 'e', 'të', 'së', 'veprimi', 'veprimeve', 'veprimit', 'veprimevet', 'dhanore', 'veprimi', 'veprimeve', 'veprimit', 'veprimevet', 'rrjedhore', 'veprimi', 'veprimesh', 'veprimit', 'veprimevet']~
3,veprues,actor,,,Noun,m,_____@,,actor; actress,,
4,adresë,address,,[adɾɛːs],Noun,f,_____@,,address,,
5,mbiemër,adjective,,,Noun,m,_____@,,(grammar) adjective,,
6,i rritur,adult,,,Noun,,_____@,,,,
7,Afrika,Africa,,,Proper noun,,_____@,,,,
8,pasdrekë,afternoon,,,Noun,f,_____@,,afternoon,,
9,moshë,age,,/ˈmɔʃə/,Noun,f,_____@,,age,,
10,gaft,air,,,Noun,,_____@,,,,
11,aeroport,airport,,,Noun,?,_____@,,airport; aerodrome; airdrome; airfield,,
12,i gjallë,alive,,,Adjective,,_____@,,,,
13,lejoj,allow,,,Verb,,_____@,,,,
14,,America,,,Proper noun,,_____@,,,,
15,zemëruar,angry,,,Adjective,,_____@,,,,
16,shtazë,animal,,,Noun,f,_____@,,animalSynonym: kafshë,https://upload.wikimedia.org/wikipedia/commons/0/08/Bg-%D0%B1%D1%8A%D0%BB%D0%B3%D0%B0%D1%80%D1%81%D0%BA%D0%B8.ogg,~['trajta të pashquara', 'trajta të shquara', 'numri njëjës', 'numri shumës', 'numri njëjës', 'numri shumës', 'emërore', 'shtazë', 'shtazë', 'shtaza', 'shtazët', 'kallëzore', 'shtazë', 'shtazë', 'shtazën', 'shtazët', 'gjinore', 'i', 'e', 'të', 'së', 'shtaze', 'shtazëve', 'shtazës', 'shtazëvet', 'dhanore', 'shtaze', 'shtazëve', 'shtazës', 'shtazëvet', 'rrjedhore', 'shtaze', 'shtazësh', 'shtazës', 'shtazëvet']~
17,përgjigje,answer,,,Noun,f,Ajo nuk ka kthyer përgjigje.@She has not replied.,,answer,,
18,çdo,any,,/ʒdo/,Determiner,,Unë hyj në Tatoeba çdo javë.@I log into Tatoeba weekly.,,each; everyÇdo gjë që ka bërë Perëndia tregon dashurinë e tij.Everything that God has done shows his love.,,
19,apartament,apartment,,,Noun,,_____@,,,,
20,,,,,,,_____@,,,,
21,mollë,apple,,/ˈmɔɫə/,Noun,f,Ajo ha një mollë të kuqe.@She eats a red apple.,,apple,,~['trajta të pashquara', 'trajta të shquara', 'numri njëjës', 'numri shumës', 'numri njëjës', 'numri shumës', 'emërore', 'mollë', 'molla', 'molla', 'mollat', 'kallëzore', 'mollë', 'molla', 'mollën', 'mollat', 'gjinore', 'i', 'e', 'të', 'së', 'molle', 'mollave', 'mollës', 'mollavet', 'dhanore', 'molle', 'mollave', 'mollës', 'mollavet', 'rrjedhore', 'molle', 'mollash', 'mollës', 'mollavet']~
22,prill,April,,,Proper noun,m,_____@,,April,,
23,sipërfaqe,area,,,Noun,f,_____@,,surface,,
24,krah,arm,,[kɾah],Noun,m,Kam dhimbje në krah.@My arm hurts.,,arm,,~['trajta të pashquara', 'trajta të shquara', 'numri njëjës', 'numri shumës', 'numri njëjës', 'numri shumës', 'emërore', 'krah', 'krahë', 'krahu', 'krahët', 'kallëzore', 'krah', 'krahë', 'krahun', 'krahët', 'gjinore', 'i', 'e', 'të', 'së', 'krahu', 'krahëve', 'krahut', 'krahëvet', 'dhanore', 'krahu', 'krahëve', 'krahut', 'krahëvet', 'rrjedhore', 'krahu', 'krahësh', 'krahut', 'krahëvet']~
25,armatë,army,,,Noun,f,_____@,,army,,
26,arrij,arrive,,[aˈrij],Verb,,_____@,,I arrive,,
